internal,kind,match,path,severity
True,github_username_placeholder,username,results/audit/cell02_deep_audit_report.md,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/cell02_python_file_analysis.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell04_notebook_extraction/cell04_notebook_to_script_conversion_plan.md,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell04_notebook_extraction/cell04_notebook_to_script_conversion_plan.md,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell04_notebook_extraction/cell04_notebook_to_script_conversion_plan.md,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_report.md,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_report.md,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_report.md,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_report.md,ALLOW_INTERNAL_REVIEW
True,todo,TODO,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_report.md,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_report.md,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_report.md,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_report.md,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_summary.json,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_summary.json,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_summary.json,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_summary.json,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_summary.json,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_summary.json,ALLOW_INTERNAL_REVIEW
True,todo,TODO,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_summary.json,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_summary.json,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_summary.json,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/final_journal_neutrality_summary.json,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,tbd,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TODO,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TODO,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/cell08_final_journal_neutrality/placeholder_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/csv_table_summaries.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,username,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,github_username_placeholder,USERNAME,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,tbd,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,tbd,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,todo,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,license_ref_tbd,LicenseRef-TBD,results/audit/verification/key_term_hits.csv,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,scripts/_raw_notebook_exports/00b_eda_faced.py,ALLOW_INTERNAL_REVIEW
True,todo,placeholder,scripts/_raw_notebook_exports/08_final_stats_and_figures_v2.py,ALLOW_INTERNAL_REVIEW
True,todo,Placeholder,scripts/_raw_notebook_exports/10_wearkd_seediv_calibrated_clip_loso.py,ALLOW_INTERNAL_REVIEW
True,todo,todo,scripts/_raw_notebook_exports/CSE400C_PhaseBC_Master.py,ALLOW_INTERNAL_REVIEW
True,todo,todo,scripts/_raw_notebook_exports/CSE400C_PhaseBC_Master.py,ALLOW_INTERNAL_REVIEW
