context,match,path
",Acc_mean,Acc_std,f1_neutral,f1_sad,f1_fear,f1_happy,n_runs M01,LDA,62ch,0.4047,0.1063,0.4081,0.1074,0.4633,0.3976,0.3581,0",M01,results/final_tables/table_5_1_classical_main.csv
",0.4047,0.1063,0.4081,0.1074,0.4633,0.3976,0.3581,0.3998,45 M01,LDA,6ch,0.4345,0.1095,0.4408,0.1078,0.5123,0.4218,0.3288,0.",M01,results/final_tables/table_5_1_classical_main.csv
",0.4345,0.1095,0.4408,0.1078,0.5123,0.4218,0.3288,0.4752,45 M02,SVM (RBF),62ch,0.4763,0.0959,0.4811,0.0961,0.5617,0.4841,0.",M02,results/final_tables/table_5_1_classical_main.csv
",0.4763,0.0959,0.4811,0.0961,0.5617,0.4841,0.3907,0.4687,45 M02,SVM (RBF),6ch,0.352,0.0718,0.3653,0.0722,0.389,0.3598,0.268",M02,results/final_tables/table_5_1_classical_main.csv
"ch,0.352,0.0718,0.3653,0.0722,0.389,0.3598,0.2689,0.3904,45 M03,Random Forest,62ch,0.4648,0.131,0.4702,0.1275,0.4715,0.485,",M03,results/final_tables/table_5_1_classical_main.csv
"2ch,0.4648,0.131,0.4702,0.1275,0.4715,0.485,0.4186,0.484,45 M03,Random Forest,6ch,0.4039,0.1016,0.414,0.0978,0.4445,0.4272,",M03,results/final_tables/table_5_1_classical_main.csv
"h,0.4039,0.1016,0.414,0.0978,0.4445,0.4272,0.3388,0.4051,45 M04,k-NN,62ch,0.3408,0.0601,0.3487,0.0582,0.3009,0.3728,0.3383,",M04,results/final_tables/table_5_1_classical_main.csv
"h,0.3408,0.0601,0.3487,0.0582,0.3009,0.3728,0.3383,0.351,45 M04,k-NN,6ch,0.304,0.0475,0.3061,0.0483,0.2962,0.3028,0.2924,0.",M04,results/final_tables/table_5_1_classical_main.csv
"h,0.304,0.0475,0.3061,0.0483,0.2962,0.3028,0.2924,0.3247,45 M05,Logistic Regression,62ch,0.4148,0.115,0.4233,0.1086,0.4627,",M05,results/final_tables/table_5_1_classical_main.csv
"h,0.4148,0.115,0.4233,0.1086,0.4627,0.4405,0.3698,0.3861,45 M05,Logistic Regression,6ch,0.4257,0.103,0.4304,0.1015,0.4842,0",M05,results/final_tables/table_5_1_classical_main.csv
"ch,0.4257,0.103,0.4304,0.1015,0.4842,0.416,0.3322,0.4706,45 M06,Naive Bayes,62ch,0.3791,0.1091,0.3986,0.1044,0.4173,0.2294,",M06,results/final_tables/table_5_1_classical_main.csv
",0.3791,0.1091,0.3986,0.1044,0.4173,0.2294,0.4348,0.4349,45 M06,Naive Bayes,6ch,0.3759,0.0868,0.3834,0.0812,0.4114,0.3232,0",M06,results/final_tables/table_5_1_classical_main.csv
",0.3759,0.0868,0.3834,0.0812,0.4114,0.3232,0.3037,0.4653,45 M07,Extra Trees,62ch,0.4717,0.125,0.4765,0.123,0.4929,0.4926,0.",M07,results/final_tables/table_5_1_classical_main.csv
"ch,0.4717,0.125,0.4765,0.123,0.4929,0.4926,0.4161,0.4851,45 M07,Extra Trees,6ch,0.4076,0.0977,0.4195,0.0935,0.4338,0.444,0.",M07,results/final_tables/table_5_1_classical_main.csv
"ch,0.4076,0.0977,0.4195,0.0935,0.4338,0.444,0.337,0.4155,45 M08,Gradient Boosting,62ch,0.4765,0.1298,0.4821,0.1299,0.5073,0",M08,results/final_tables/table_5_1_classical_main.csv
"h,0.4765,0.1298,0.4821,0.1299,0.5073,0.508,0.4142,0.4767,45 M08,Gradient Boosting,6ch,0.4152,0.0871,0.4221,0.0859,0.4537,0.",M08,results/final_tables/table_5_1_classical_main.csv
",0.4089,0.0919,0.4162,0.0893,0.4527,0.3969,0.3711,0.4149,45 M10,MLP (sklearn),62ch,0.479,0.1169,0.4825,0.1161,0.5406,0.4823",M10,results/final_tables/table_5_1_classical_main.csv
"h,0.479,0.1169,0.4825,0.1161,0.5406,0.4823,0.3949,0.4983,45 M10,MLP (sklearn),6ch,0.3978,0.083,0.4116,0.0816,0.4173,0.4142,",M10,results/final_tables/table_5_1_classical_main.csv
",f1_a_mean,f1_a_std,acc_b_mean,acc_b_std,f1_b_mean,f1_b_std M11,Shallow MLP,62ch,45,0.4764644444444443,0.104228760983529,0.",M11,results/final_tables/table_5_2_deep_main.csv
"666,0.098344721631246,0.4929977777777778,0.0984646025203725 M11,Shallow MLP,6ch,45,0.4004466666666667,0.0875449380707884,0.",M11,results/final_tables/table_5_2_deep_main.csv
"998,0.0869856283845472,0.4048933333333332,0.085880081297332 M12,Deep MLP,62ch,45,0.4787355555555556,0.1098406928145475,0.47",M12,results/final_tables/table_5_2_deep_main.csv
"99,0.1022750511655168,0.4887911111111111,0.1015215154585967 M12,Deep MLP,6ch,45,0.3977844444444445,0.0843311787364003,0.388",M12,results/final_tables/table_5_2_deep_main.csv
"56,0.0785705159700378,0.3955155555555555,0.0788838903808386 M13,LSTM,62ch,45,0.4298355555555556,0.1174107788058574,0.41974,",M13,results/final_tables/table_5_2_deep_main.csv
"22,0.1178971036132951,0.4213488888888889,0.1283501896840016 M13,LSTM,6ch,45,0.3840155555555555,0.0713238993336849,0.3760911",M13,results/final_tables/table_5_2_deep_main.csv
"11,0.0702031714584767,0.3773044444444444,0.0705130708565168 M14,GRU,62ch,45,0.4389777777777777,0.1059884596824512,0.4310333",M14,results/final_tables/table_5_2_deep_main.csv
"23,0.1054878267188142,0.4338777777777777,0.1101255562134109 M14,GRU,6ch,45,0.3756977777777777,0.0778559114614616,0.36878666",M14,results/final_tables/table_5_2_deep_main.csv
"68,0.0767647753026915,0.3712999999999999,0.0785070292162659 M15,Conv1D,62ch,45,0.4303244444444444,0.1235371202137522,0.4192",M15,results/final_tables/table_5_2_deep_main.csv
"45,0.1062273123489853,0.4379688888888888,0.1100561671111252 M15,Conv1D,6ch,45,0.3753222222222221,0.0749665346213316,0.36640",M15,results/final_tables/table_5_2_deep_main.csv
"89,0.0788365916425753,0.3728466666666666,0.0803426259556815 M16,Vanilla Transformer,62ch,45,0.4047044444444445,0.0788158814",M16,results/final_tables/table_5_2_deep_main.csv
"7866666666667,0.0791860197716284,0.39516,0.0825220091854288 M16,Vanilla Transformer,6ch,45,0.3684311111111112,0.06651086316",M16,results/final_tables/table_5_2_deep_main.csv
"77,0.0664254397080218,0.3601155555555555,0.0678817151560363 M17,EEG Conformer,62ch,45,0.4527977777777777,0.1206186260471199",M17,results/final_tables/table_5_2_deep_main.csv
"4244444444444,0.1134045456751975,0.45444,0.1162682720732921 M17,EEG Conformer,6ch,45,0.3527111111111111,0.0743092194886348,",M17,results/final_tables/table_5_2_deep_main.csv
"67,0.0739647938364782,0.3534733333333333,0.0784058219081396 M18,ChanDrop Transformer,62ch,45,0.4302866666666667,0.074422307",M18,results/final_tables/table_5_2_deep_main.csv
"333,0.074512382741516,0.4194844444444443,0.0799893457551906 M18,ChanDrop Transformer,6ch,45,0.3907822222222221,0.0625861671",M18,results/final_tables/table_5_2_deep_main.csv
"34,0.0628388537885164,0.3904622222222222,0.0634608694353847 M19,DANN,62ch,45,0.4583688888888889,0.1132594684426833,0.454737",M19,results/final_tables/table_5_2_deep_main.csv
"556,0.0915210853885981,0.6542866666666666,0.095447433414705 M19,DANN,6ch,45,0.3964111111111111,0.0919629080915042,0.3863266",M19,results/final_tables/table_5_2_deep_main.csv
"23,0.0744445427784666,0.6114088888888888,0.0769981015770171 M21,SimCLR,62ch,45,0.4114244444444445,0.0935140464790658,0.4059",M21,results/final_tables/table_5_2_deep_main.csv
"66,0.0848323817890314,0.5568133333333333,0.0895621840855939 M21,SimCLR,6ch,45,0.4464555555555556,0.1067420394212045,0.44054",M21,results/final_tables/table_5_2_deep_main.csv
"334,0.092766686810612,0.5976533333333335,0.0974070386667112 M23,PseudoLabel,62ch,45,0.4682,0.1152572793993744,0.46564,0.116",M23,results/final_tables/table_5_2_deep_main.csv
"12,0.0855794055042721,0.6538088888888888,0.0854434789847072 M23,PseudoLabel,6ch,45,0.4046777777777777,0.0946538331569996,0.",M23,results/final_tables/table_5_2_deep_main.csv
"888,0.0842554374350625,0.5998622222222223,0.088848334227207 M24,MixMatch,62ch,45,0.2853266666666667,0.0787370462650552,0.24",M24,results/final_tables/table_5_2_deep_main.csv
"44,0.1018478186394591,0.5216666666666666,0.1093684743507843 M24,MixMatch,6ch,45,0.2703577777777778,0.0703835288353257,0.226",M24,results/final_tables/table_5_2_deep_main.csv
"model_id,name,ch,delta_acc,delta_f1 M11,Shallow MLP,62ch,0.0196422222222222,0.0191355555555556 M11,",M11,results/final_tables/table_5_5_proto_gain.csv
" M11,Shallow MLP,62ch,0.0196422222222222,0.0191355555555556 M11,Shallow MLP,6ch,0.0113533333333331,0.0119733333333332 M12,D",M11,results/final_tables/table_5_5_proto_gain.csv
"6 M11,Shallow MLP,6ch,0.0113533333333331,0.0119733333333332 M12,Deep MLP,62ch,0.0134044444444442,0.012531111111111 M12,Deep",M12,results/final_tables/table_5_5_proto_gain.csv
"3332 M12,Deep MLP,62ch,0.0134044444444442,0.012531111111111 M12,Deep MLP,6ch,0.002751111111111,0.0067222222222221 M13,LSTM,",M12,results/final_tables/table_5_5_proto_gain.csv
"11111 M12,Deep MLP,6ch,0.002751111111111,0.0067222222222221 M13,LSTM,62ch,0.0014066666666665,0.0016088888888889 M13,LSTM,6c",M13,results/final_tables/table_5_5_proto_gain.csv
"2222221 M13,LSTM,62ch,0.0014066666666665,0.0016088888888889 M13,LSTM,6ch,0.0006555555555555,0.0012133333333333 M14,GRU,62ch",M13,results/final_tables/table_5_5_proto_gain.csv
"88888889 M13,LSTM,6ch,0.0006555555555555,0.0012133333333333 M14,GRU,62ch,0.0021644444444445,0.0028444444444444 M14,GRU,6ch,",M14,results/final_tables/table_5_5_proto_gain.csv
"33333333 M14,GRU,62ch,0.0021644444444445,0.0028444444444444 M14,GRU,6ch,0.0019822222222223,0.0025133333333333 M15,Conv1D,62",M14,results/final_tables/table_5_5_proto_gain.csv
"444444444 M14,GRU,6ch,0.0019822222222223,0.0025133333333333 M15,Conv1D,62ch,0.01514,0.0187266666666666 M15,Conv1D,6ch,0.003",M15,results/final_tables/table_5_5_proto_gain.csv
"0025133333333333 M15,Conv1D,62ch,0.01514,0.0187266666666666 M15,Conv1D,6ch,0.0035777777777779,0.0064422222222222 M16,Vanill",M15,results/final_tables/table_5_5_proto_gain.csv
"666666 M15,Conv1D,6ch,0.0035777777777779,0.0064422222222222 M16,Vanilla Transformer,62ch,0.0020822222222222,0.0022711111111",M16,results/final_tables/table_5_5_proto_gain.csv
"illa Transformer,62ch,0.0020822222222222,0.0022711111111112 M16,Vanilla Transformer,6ch,0.0025466666666665,0.00248444444444",M16,results/final_tables/table_5_5_proto_gain.csv
"nilla Transformer,6ch,0.0025466666666665,0.0024844444444443 M17,EEG Conformer,62ch,0.0066266666666666,0.007731111111111 M17",M17,results/final_tables/table_5_5_proto_gain.csv
"M17,EEG Conformer,62ch,0.0066266666666666,0.007731111111111 M17,EEG Conformer,6ch,0.0081355555555556,0.00916 M18,ChanDrop T",M17,results/final_tables/table_5_5_proto_gain.csv
"1111111111 M17,EEG Conformer,6ch,0.0081355555555556,0.00916 M18,ChanDrop Transformer,62ch,0.0012066666666665,0.001439999999",M18,results/final_tables/table_5_5_proto_gain.csv
"Drop Transformer,62ch,0.0012066666666665,0.0014399999999999 M18,ChanDrop Transformer,6ch,0.0069111111111112,0.0076466666666",M18,results/final_tables/table_5_5_proto_gain.csv
"nDrop Transformer,6ch,0.0069111111111112,0.0076466666666666 M19,DANN,62ch,0.2035266666666667,0.1995488888888889 M19,DANN,6c",M19,results/final_tables/table_5_5_proto_gain.csv
"6666666 M19,DANN,62ch,0.2035266666666667,0.1995488888888889 M19,DANN,6ch,0.1939711111111111,0.1931288888888889 CLISA-EWU,CL",M19,results/final_tables/table_5_5_proto_gain.csv
"9 CLISA-EWU,CLISA,6ch,0.2144644444444445,0.2134799999999999 M21,SimCLR,62ch,0.1631222222222221,0.1508644444444444 M21,SimCL",M21,results/final_tables/table_5_5_proto_gain.csv
"99999 M21,SimCLR,62ch,0.1631222222222221,0.1508644444444444 M21,SimCLR,6ch,0.1555044444444444,0.1416688888888888 BYOL,BYOL,",M21,results/final_tables/table_5_5_proto_gain.csv
"5555556 BYOL,BYOL,6ch,0.1721066666666668,0.1648933333333334 M23,PseudoLabel,62ch,0.1892111111111111,0.1881688888888887 M23,",M23,results/final_tables/table_5_5_proto_gain.csv
" M23,PseudoLabel,62ch,0.1892111111111111,0.1881688888888887 M23,PseudoLabel,6ch,0.205511111111111,0.2055155555555556 M24,Mi",M23,results/final_tables/table_5_5_proto_gain.csv
"87 M23,PseudoLabel,6ch,0.205511111111111,0.2055155555555556 M24,MixMatch,62ch,0.2496777777777777,0.2788088888888889 M24,Mix",M24,results/final_tables/table_5_5_proto_gain.csv
"556 M24,MixMatch,62ch,0.2496777777777777,0.2788088888888889 M24,MixMatch,6ch,0.093871111111111,0.1079688888888889 DANCE Tea",M24,results/final_tables/table_5_5_proto_gain.csv
"y_62,primary_6,retention_primary,family,paired_distillation M01,LDA,0.4047,0.4345,1.0736347912033606,classical,nan M02,SVM ",M01,results/final_tables/table_5_6_channel_efficiency.csv
"tion M01,LDA,0.4047,0.4345,1.0736347912033606,classical,nan M02,SVM (RBF),0.4763,0.352,0.7390300230946881,classical,nan M03",M02,results/final_tables/table_5_6_channel_efficiency.csv
"M02,SVM (RBF),0.4763,0.352,0.7390300230946881,classical,nan M03,Random Forest,0.4648,0.4039,0.8689759036144578,classical,na",M03,results/final_tables/table_5_6_channel_efficiency.csv
"andom Forest,0.4648,0.4039,0.8689759036144578,classical,nan M04,k-NN,0.3408,0.304,0.892018779342723,classical,nan M05,Logis",M04,results/final_tables/table_5_6_channel_efficiency.csv
"l,nan M04,k-NN,0.3408,0.304,0.892018779342723,classical,nan M05,Logistic Regression,0.4148,0.4257,1.026277724204436,classic",M05,results/final_tables/table_5_6_channel_efficiency.csv
"ic Regression,0.4148,0.4257,1.026277724204436,classical,nan M06,Naive Bayes,0.3791,0.3759,0.9915589554207334,classical,nan ",M06,results/final_tables/table_5_6_channel_efficiency.csv
",Naive Bayes,0.3791,0.3759,0.9915589554207334,classical,nan M07,Extra Trees,0.4717,0.4076,0.8641085435658258,classical,nan ",M07,results/final_tables/table_5_6_channel_efficiency.csv
",Extra Trees,0.4717,0.4076,0.8641085435658258,classical,nan M08,Gradient Boosting,0.4765,0.4152,0.8713536201469045,classica",M08,results/final_tables/table_5_6_channel_efficiency.csv
"oost,XGBoost,0.4791,0.4089,0.8534752661239824,classical,nan M10,MLP (sklearn),0.479,0.3978,0.8304801670146138,classical,nan",M10,results/final_tables/table_5_6_channel_efficiency.csv
"MLP (sklearn),0.479,0.3978,0.8304801670146138,classical,nan M11,Shallow MLP,0.4961066666666666,0.4117999999999998,0.8300634",M11,results/final_tables/table_5_6_channel_efficiency.csv
"066666666666,0.4117999999999998,0.8300634272199525,deep,nan M12,Deep MLP,0.4921399999999999,0.4005355555555556,0.8138650700",M12,results/final_tables/table_5_6_channel_efficiency.csv
"399999999999,0.4005355555555556,0.8138650700116952,deep,nan M13,LSTM,0.4312422222222222,0.3846711111111111,0.89200707001478",M13,results/final_tables/table_5_6_channel_efficiency.csv
"422222222222,0.3846711111111111,0.8920070700147894,deep,nan M14,GRU,0.4411422222222223,0.37768,0.8561411285853894,deep,nan ",M14,results/final_tables/table_5_6_channel_efficiency.csv
",GRU,0.4411422222222223,0.37768,0.8561411285853894,deep,nan M15,Conv1D,0.4454644444444445,0.3789,0.8505729351139136,deep,na",M15,results/final_tables/table_5_6_channel_efficiency.csv
"onv1D,0.4454644444444445,0.3789,0.8505729351139136,deep,nan M16,Vanilla Transformer,0.4067866666666667,0.3709777777777777,0",M16,results/final_tables/table_5_6_channel_efficiency.csv
"866666666667,0.3709777777777777,0.9119713308641164,deep,nan M17,EEG Conformer,0.4594244444444444,0.3608466666666667,0.78543",M17,results/final_tables/table_5_6_channel_efficiency.csv
"244444444444,0.3608466666666667,0.7854320139691693,deep,nan M18,ChanDrop Transformer,0.4314933333333333,0.3976933333333334,",M18,results/final_tables/table_5_6_channel_efficiency.csv
"933333333333,0.3976933333333334,0.9216673876769051,deep,nan M19,DANN,0.6618955555555556,0.5903822222222223,0.89195677062174",M19,results/final_tables/table_5_6_channel_efficiency.csv
"511111111113,0.6199222222222223,0.9115818092104186,deep,nan M21,SimCLR,0.5745466666666666,0.60196,1.047712979508482,deep,na",M21,results/final_tables/table_5_6_channel_efficiency.csv
"222222222223,0.6124333333333334,1.0057661076948343,deep,nan M23,PseudoLabel,0.6574111111111112,0.6101888888888888,0.9281694",M23,results/final_tables/table_5_6_channel_efficiency.csv
"111111111112,0.6101888888888888,0.9281694187638376,deep,nan M24,MixMatch,0.5350044444444444,0.3642288888888889,0.6807960058",M24,results/final_tables/table_5_6_channel_efficiency.csv
"model_id,name,ch,source,f1_neutral,f1_sad,f1_fear,f1_happy M01,LDA,62ch,classical_summary,0.4633,0.3976,0.3581,0.3998 M01,",M01,results/final_tables/table_5_7_per_class_top_models.csv
" M01,LDA,62ch,classical_summary,0.4633,0.3976,0.3581,0.3998 M01,LDA,6ch,classical_summary,0.5123,0.4218,0.3288,0.4752 M02,S",M01,results/final_tables/table_5_7_per_class_top_models.csv
"8 M01,LDA,6ch,classical_summary,0.5123,0.4218,0.3288,0.4752 M02,SVM (RBF),62ch,classical_summary,0.5617,0.4841,0.3907,0.468",M02,results/final_tables/table_5_7_per_class_top_models.csv
"VM (RBF),62ch,classical_summary,0.5617,0.4841,0.3907,0.4687 M02,SVM (RBF),6ch,classical_summary,0.389,0.3598,0.2689,0.3904 ",M02,results/final_tables/table_5_7_per_class_top_models.csv
",SVM (RBF),6ch,classical_summary,0.389,0.3598,0.2689,0.3904 M03,Random Forest,62ch,classical_summary,0.4715,0.485,0.4186,0.",M03,results/final_tables/table_5_7_per_class_top_models.csv
"dom Forest,62ch,classical_summary,0.4715,0.485,0.4186,0.484 M03,Random Forest,6ch,classical_summary,0.4445,0.4272,0.3388,0.",M03,results/final_tables/table_5_7_per_class_top_models.csv
"om Forest,6ch,classical_summary,0.4445,0.4272,0.3388,0.4051 M04,k-NN,62ch,classical_summary,0.3009,0.3728,0.3383,0.351 M04,",M04,results/final_tables/table_5_7_per_class_top_models.csv
" M04,k-NN,62ch,classical_summary,0.3009,0.3728,0.3383,0.351 M04,k-NN,6ch,classical_summary,0.2962,0.3028,0.2924,0.3247 M05,",M04,results/final_tables/table_5_7_per_class_top_models.csv
" M04,k-NN,6ch,classical_summary,0.2962,0.3028,0.2924,0.3247 M05,Logistic Regression,62ch,classical_summary,0.4627,0.4405,0.",M05,results/final_tables/table_5_7_per_class_top_models.csv
"gression,62ch,classical_summary,0.4627,0.4405,0.3698,0.3861 M05,Logistic Regression,6ch,classical_summary,0.4842,0.416,0.33",M05,results/final_tables/table_5_7_per_class_top_models.csv
"Regression,6ch,classical_summary,0.4842,0.416,0.3322,0.4706 M06,Naive Bayes,62ch,classical_summary,0.4173,0.2294,0.4348,0.4",M06,results/final_tables/table_5_7_per_class_top_models.csv
"ve Bayes,62ch,classical_summary,0.4173,0.2294,0.4348,0.4349 M06,Naive Bayes,6ch,classical_summary,0.4114,0.3232,0.3037,0.46",M06,results/final_tables/table_5_7_per_class_top_models.csv
"ive Bayes,6ch,classical_summary,0.4114,0.3232,0.3037,0.4653 M07,Extra Trees,62ch,classical_summary,0.4929,0.4926,0.4161,0.4",M07,results/final_tables/table_5_7_per_class_top_models.csv
"ra Trees,62ch,classical_summary,0.4929,0.4926,0.4161,0.4851 M07,Extra Trees,6ch,classical_summary,0.4338,0.444,0.337,0.4155",M07,results/final_tables/table_5_7_per_class_top_models.csv
"Extra Trees,6ch,classical_summary,0.4338,0.444,0.337,0.4155 M08,Gradient Boosting,62ch,classical_summary,0.5073,0.508,0.414",M08,results/final_tables/table_5_7_per_class_top_models.csv
" Boosting,62ch,classical_summary,0.5073,0.508,0.4142,0.4767 M08,Gradient Boosting,6ch,classical_summary,0.4537,0.4134,0.378",M08,results/final_tables/table_5_7_per_class_top_models.csv
"t,XGBoost,6ch,classical_summary,0.4527,0.3969,0.3711,0.4149 M10,MLP (sklearn),62ch,classical_summary,0.5406,0.4823,0.3949,0",M10,results/final_tables/table_5_7_per_class_top_models.csv
"sklearn),62ch,classical_summary,0.5406,0.4823,0.3949,0.4983 M10,MLP (sklearn),6ch,classical_summary,0.4173,0.4142,0.3313,0.",M10,results/final_tables/table_5_7_per_class_top_models.csv
"s table_5_1,classical_ml_summary.csv,primary,True table_5_2,M11-M24 per-model CSVs + master,primary+audit,True table_5_3,M2",M11,results/final_tables/table_audit_sources.csv
"ble_5_1,classical_ml_summary.csv,primary,True table_5_2,M11-M24 per-model CSVs + master,primary+audit,True table_5_3,M25_62",M24,results/final_tables/table_audit_sources.csv
- | --- | --- | --- | --- | --- | --- | --- | --- | --- | | M01 | LDA | 62ch | 0.4047 | 0.1063 | 0.4081 | 0.1074 | 0.4633 |,M01,results/reproduced_tables/reproduced_tables_all.md
1 | 0.1074 | 0.4633 | 0.3976 | 0.3581 | 0.3998 | 45.000 | | M01 | LDA | 6ch | 0.4345 | 0.1095 | 0.4408 | 0.1078 | 0.5123 | ,M01,results/reproduced_tables/reproduced_tables_all.md
