found_in,key_claim,value
results/aggregates/ablations/ablations_partial_summary.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/classical_ml/all_classical.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/aggregates/classical_ml/all_classical.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/aggregates/classical_ml/all_classical.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/classical_ml/all_classical.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models/all_dl.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/aggregates/deep_models/all_dl.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/aggregates/deep_models/all_dl.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/aggregates/deep_models/all_dl.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/aggregates/deep_models/all_dl.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/deep_models/all_dl.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/deep_models_all_folds.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/aggregates/deep_models_seediv/deep_models_all_folds.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/aggregates/deep_models_seediv/deep_models_all_folds.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/aggregates/deep_models_seediv/deep_models_all_folds.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/aggregates/deep_models_seediv/deep_models_all_folds.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/deep_models_seediv/deep_models_all_folds.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/deep_models_all_folds.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/deep_models_seediv/deep_models_master_summary.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/aggregates/deep_models_seediv/deep_models_master_summary.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/aggregates/deep_models_seediv/deep_models_master_summary.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/aggregates/deep_models_seediv/deep_models_master_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M11_62ch_summary.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/aggregates/deep_models_seediv/M11_62ch_summary.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/aggregates/deep_models_seediv/M11_62ch_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M11_62ch_summary.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/deep_models_seediv/M11_6ch_summary.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/deep_models_seediv/M12_62ch_summary.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/aggregates/deep_models_seediv/M13_6ch_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M14_62ch_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M15_62ch_summary.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/deep_models_seediv/M15_6ch_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M17_62ch_summary.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/aggregates/deep_models_seediv/M17_62ch_summary.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/deep_models_seediv/M17_6ch_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M18_6ch_summary.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/deep_models_seediv/M19_62ch_summary.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/aggregates/deep_models_seediv/M19_62ch_summary.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/aggregates/deep_models_seediv/M19_6ch_summary.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/aggregates/deep_models_seediv/M19_6ch_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M20_62ch_summary.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/deep_models_seediv/M20_6ch_summary.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/deep_models_seediv/M20_6ch_summary.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/deep_models_seediv/M21_62ch_summary.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/aggregates/deep_models_seediv/M21_62ch_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M21_62ch_summary.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/deep_models_seediv/M21_6ch_summary.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/aggregates/deep_models_seediv/M21_6ch_summary.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/deep_models_seediv/M22_62ch_summary.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/aggregates/deep_models_seediv/M22_62ch_summary.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/deep_models_seediv/M22_62ch_summary.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/deep_models_seediv/M22_6ch_summary.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/aggregates/deep_models_seediv/M23_62ch_summary.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/deep_models_seediv/M23_62ch_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M23_6ch_summary.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/aggregates/deep_models_seediv/M23_6ch_summary.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/aggregates/deep_models_seediv/M24_62ch_summary.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/aggregates/deep_models_seediv/M24_62ch_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M24_6ch_summary.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/aggregates/deep_models_seediv/M24_6ch_summary.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/deep_models_seediv/M25_62ch_summary.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/aggregates/deep_models_seediv/M25_62ch_summary.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/deep_models_seediv/M25_62ch_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M26_6ch_summary.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/aggregates/deep_models_seediv/M26_6ch_summary.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/aggregates/deep_models_seediv/M26_6ch_summary.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/exploratory_graph_former_not_main/M27_EEGGraphFormer_SEED-IV_final.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/exploratory_graph_former_not_main/M28_GraphStudent_SEED-IV_final.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/exploratory_graph_former_not_main/M28_GraphStudent_SEED-IV_final.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/exploratory_graph_former_not_main/M28_student_loso_results.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/exploratory_graph_former_not_main/M28_student_loso_results.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/aggregates/phaseB_reproduction/phaseB_reproduce_results.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/ssl_semisl/all_ssl.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/aggregates/ssl_semisl/all_ssl.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/audit/cell02_csv_schemas.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/audit/cell02_csv_schemas.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/audit/cell02_csv_schemas.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/audit/cell02_csv_schemas.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/audit/cell08_final_journal_neutrality/text_files_scanned.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/audit/staging_manifest_cell03.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/audit/verification/key_value_hits.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/audit/verification/key_value_hits.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/audit/verification/key_value_hits.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/audit/verification/key_value_hits.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/audit/verification/key_value_hits.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/audit/verification/key_value_hits.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/audit/verification/key_value_hits.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/final_tables/audit_statistical_tests.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/final_tables/audit_statistical_tests.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/final_tables/table_5_2_deep_main.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/final_tables/table_5_2_deep_main.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/final_tables/table_5_2_deep_main.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/final_tables/table_5_2_deep_main.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/final_tables/table_5_3_dance_loso_verified.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/final_tables/table_5_3b_dance_reproduction.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/final_tables/table_5_4_ablations.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/final_tables/table_5_6_channel_efficiency.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/final_tables/table_5_6_channel_efficiency.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/final_tables/table_5_6_channel_efficiency.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/final_tables/table_5_6_channel_efficiency.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/final_tables/table_5_6_channel_efficiency.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/reproduced_tables/audit_statistical_tests.normalized.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/reproduced_tables/audit_statistical_tests.normalized.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/reproduced_tables/table_5_2_deep_main.normalized.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/reproduced_tables/table_5_2_deep_main.normalized.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/reproduced_tables/table_5_2_deep_main.normalized.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/reproduced_tables/table_5_2_deep_main.normalized.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/reproduced_tables/table_5_3_dance_loso_verified.normalized.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
results/reproduced_tables/table_5_3b_dance_reproduction.normalized.csv,DANCE_PhaseB_value_caution_0.6170,0.617
results/reproduced_tables/table_5_4_ablations.normalized.csv,DANCE_M25_mismatch_caution_0.0236,0.0236
results/reproduced_tables/table_5_6_channel_efficiency.normalized.csv,CLISA_EWU_62ch_AccB_expected_0.6801,0.6801
results/reproduced_tables/table_5_6_channel_efficiency.normalized.csv,CLISA_EWU_6ch_AccB_expected_0.6199,0.6199
results/reproduced_tables/table_5_6_channel_efficiency.normalized.csv,BYOL_M22_62ch_AccB_expected_0.6089,0.6089
results/reproduced_tables/table_5_6_channel_efficiency.normalized.csv,BYOL_M22_6ch_AccB_expected_0.6124,0.6124
results/reproduced_tables/table_5_6_channel_efficiency.normalized.csv,DANCE_possible_LOSO_value_caution_0.5190,0.519
